Type,Date,Latitude,Longitude,Gender,Age_range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Outcome,Removal of more than just outer clothing
Person and Vehicle search,2021-12-02T11:34:28+00:00,53.465001,-3.0075819999999998,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T11:38:33+00:00,53.46291,-3.00827,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T12:56:48+00:00,53.39756,-2.979187,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-02T12:58:07+00:00,53.398115000000004,-2.9804630000000003,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-02T13:07:29+00:00,53.416782,-2.978681,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-02T13:16:47+00:00,53.428466,-2.975548,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T13:26:08+00:00,53.41831,-2.8719740000000002,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-02T13:51:38+00:00,53.39486899999999,-3.024527,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-02T14:48:46+00:00,53.41169300000001,-2.99087,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T14:53:24+00:00,53.41169300000001,-2.99087,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T14:57:42+00:00,53.41169300000001,-2.99087,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T15:00:24+00:00,53.41169300000001,-2.99087,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T15:01:09+00:00,53.41169300000001,-2.99087,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T15:01:17+00:00,53.375035,-3.025013,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T15:09:05+00:00,53.3804,-3.028359,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-02T15:26:21+00:00,53.45336700000001,-2.988497,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-02T16:07:34+00:00,53.423140000000004,-2.949362,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T16:15:36+00:00,53.404563,-2.982401,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T16:21:53+00:00,53.389016000000005,-3.025709,Male,18-24,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-02T17:01:13+00:00,53.361329000000005,-2.88788,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-02T18:28:28+00:00,53.48445400000001,-2.8969,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T18:31:28+00:00,53.424616,-2.841238,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-02T18:33:35+00:00,53.402353000000005,-2.985464,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-02T19:14:03+00:00,53.39862900000001,-3.028362,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-02T19:18:28+00:00,53.39862900000001,-3.028362,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T19:58:50+00:00,53.394881000000005,-3.0199849999999997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-02T20:02:20+00:00,53.39295,-3.0176529999999997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T20:04:06+00:00,53.405795999999995,-2.990899,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-02T20:38:35+00:00,53.389543,-3.017707,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T20:56:18+00:00,53.395433999999995,-3.0330369999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T21:08:10+00:00,53.375989000000004,-3.01546,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-02T21:21:37+00:00,53.404576,-2.947429,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-02T21:28:12+00:00,53.40219200000001,-2.976571,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-02T21:32:58+00:00,53.410419999999995,-2.9773009999999998,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
